          A         B         C         D         E         F
0  1.235291 -1.134355  1.093103 -0.005897 -0.107156  0.186237
1 -0.024436  0.006688  2.043630  0.079189  0.114786  0.492908
2  6.275028 -0.860554  2.998722  1.724061  1.331363  2.749730
3  2.915105  0.495306 -0.022185 -0.386030  0.776131  1.625773
4 -1.490919 -1.391907  2.958764 -0.100572 -1.006085  3.835835
5  0.544409  0.411473  2.819194 -1.000794  0.814224  2.360125
6  0.098989  2.392594  2.735245 -0.622818  1.148119  1.552665
7  0.791651  0.809234  3.117479  0.018088  0.042586  0.643492
8 -1.719385  1.866135  3.832342 -0.207879  1.135067  3.115843
9  0.199790  1.691753  2.638764 -0.251614  0.203312  0.650563
